Date,Open,High,Low,Close,Adj Close,Volume,Country/ Region,In USD
11/4/19,2964.580078,2983.060059,2964.580078,2975.48999,2975.48999,167200,China,416.5685986
11/5/19,2977.699951,3008.310059,2968.030029,2991.560059,2991.560059,179900,China,418.8184083
11/6/19,2992.040039,2995.560059,2969.719971,2978.600098,2978.600098,165300,China,417.0040137
11/7/19,2978.149902,2988.959961,2969.120117,2978.709961,2978.709961,137000,China,417.0193945
11/8/19,2993.97998,2998.76001,2962.840088,2964.179932,2964.179932,149700,China,414.9851905
11/11/19,2949.959961,2949.959961,2906.77002,2909.969971,2909.969971,157900,China,407.3957959
11/12/19,2913,2918.300049,2891.51001,2914.820068,2914.820068,129700,China,408.0748095
11/13/19,2913.02002,2913.860107,2893.969971,2905.23999,2905.23999,129800,China,406.7335986
11/14/19,2907.73999,2917.370117,2899.620117,2909.870117,2909.870117,129100,China,407.3818164
11/15/19,2911.350098,2917.830078,2891.199951,2891.340088,2891.340088,135500,China,404.7876123
11/18/19,2889.550049,2911.379883,2884.090088,2909.199951,2909.199951,124400,China,407.2879931
11/19/19,2904.280029,2933.98999,2902.860107,2933.98999,2933.98999,135400,China,410.7585986
11/20/19,2928.110107,2930.48999,2907.419922,2911.050049,2911.050049,137400,China,407.5470069
11/21/19,2902.550049,2910.360107,2891.530029,2903.639893,2903.639893,123500,China,406.509585
11/22/19,2906.23999,2925.02002,2873.98999,2885.290039,2885.290039,158600,China,403.9406055
11/25/19,2885.610107,2906.610107,2880.649902,2906.169922,2906.169922,178600,China,406.8637891
11/26/19,2912.52002,2915.040039,2897.929932,2907.060059,2907.060059,170000,China,406.9884083
11/27/19,2905.399902,2914.48999,2893.419922,2903.189941,2903.189941,133900,China,406.4465917
11/28/19,2902.364014,2909.840088,2883.434082,2889.693115,2889.693115,119500,China,404.5570361
11/29/19,2885.969971,2892.389893,2858.580078,2871.97998,2871.97998,122600,China,402.0771972
12/2/19,2874.449951,2888.889893,2870.23999,2875.810059,2875.810059,128800,China,402.6134083
12/3/19,2869.879883,2884.860107,2857.320068,2884.699951,2884.699951,123800,China,403.8579931
12/4/19,2876.907959,2882.498047,2869.422119,2878.115967,2878.115967,125500,China,402.9362354
12/5/19,2886.516113,2902.001953,2885.080078,2899.468994,2899.468994,143200,China,405.9256592
12/6/19,2902.278076,2912.013916,2894.750977,2912.013916,2912.013916,134100,China,407.6819482
12/9/19,2914.458008,2919.589111,2905.25,2914.478027,2914.478027,160800,China,408.0269238
12/10/19,2908.944092,2919.200928,2902.790039,2917.315918,2917.315918,170100,China,408.4242285
12/11/19,2922.602051,2928.256104,2915.000977,2924.416992,2924.416992,165500,China,409.4183789
12/12/19,2926.342041,2926.342041,2913.476074,2915.697998,2915.697998,151800,China,408.1977197
12/13/19,2937.775879,2969.980957,2935.849121,2967.676025,2967.676025,212000,China,415.4746435
12/16/19,2970.968994,2984.641113,2958.706055,2984.393066,2984.393066,211900,China,417.8150292
12/17/19,2985.261963,3039.383057,2982.496094,3022.422119,3022.422119,293000,China,423.1390967
