Date,Open,High,Low,Close,Adj Close,Volume,Country/ Region
11/5/19,23118.78906,23328.51953,23090.93945,23251.99023,23251.99023,102100,Japan
11/6/19,23343.50977,23352.56055,23246.57031,23303.82031,23303.82031,77400,Japan
11/7/19,23283.14063,23336,23253.32031,23330.32031,23330.32031,70900,Japan
11/8/19,23550.03906,23591.08984,23313.41016,23391.86914,23391.86914,94600,Japan
11/11/19,23422.13086,23471.82031,23323.01953,23331.83984,23331.83984,61500,Japan
11/12/19,23336.36914,23545.69922,23312.25,23520.00977,23520.00977,63000,Japan
11/13/19,23439.25,23452.63086,23270.92969,23319.86914,23319.86914,63400,Japan
11/14/19,23325.5,23360.06055,23062.16016,23141.55078,23141.55078,79900,Japan
11/15/19,23160.5293,23340.76953,23121.58984,23303.32031,23303.32031,72200,Japan
11/18/19,23304.25,23420.61914,23271.28906,23416.75977,23416.75977,57300,Japan
11/19/19,23366.35938,23389.5293,23244.92969,23292.65039,23292.65039,64200,Japan
11/20/19,23176.49023,23303.16992,23086.11914,23148.57031,23148.57031,65700,Japan
11/21/19,23071.49023,23108.08008,22726.71094,23038.58008,23038.58008,69800,Japan
11/22/19,23030.33008,23219.50977,23030.33008,23112.88086,23112.88086,55600,Japan
11/25/19,23292.84961,23347.17969,23255.39063,23292.81055,23292.81055,50300,Japan
11/26/19,23451.40039,23608.06055,23350.09961,23373.32031,23373.32031,94300,Japan
11/27/19,23452.84961,23507.82031,23418.23047,23437.76953,23437.76953,52200,Japan
11/28/19,23458.88086,23482.32031,23367.33008,23409.14063,23409.14063,44800,Japan
11/29/19,23497.43945,23498.76953,23273.36914,23293.91016,23293.91016,52100,Japan
12/2/19,23388.63086,23562.05078,23378.40039,23529.5,23529.5,47700,Japan
12/3/19,23231.14063,23388.17969,23186.83984,23379.81055,23379.81055,58800,Japan
12/4/19,23186.74023,23203.76953,23044.7793,23135.23047,23135.23047,58100,Japan
12/5/19,23292.69922,23363.43945,23259.82031,23300.08984,23300.08984,61400,Japan
12/6/19,23347.66992,23412.48047,23338.40039,23354.40039,23354.40039,54400,Japan
12/9/19,23544.31055,23544.31055,23360.00977,23430.69922,23430.69922,55800,Japan
12/10/19,23372.39063,23449.4707,23336.92969,23410.18945,23410.18945,52800,Japan
12/11/19,23421.14063,23438.42969,23333.63086,23391.85938,23391.85938,61300,Japan
12/12/19,23449.2793,23468.15039,23360.42969,23424.81055,23424.81055,56300,Japan
12/13/19,23810.56055,24050.03906,23775.73047,24023.09961,24023.09961,115500,Japan
12/16/19,23955.19922,24036.30078,23950.05078,23952.34961,23952.34961,53300,Japan
12/17/19,24091.11914,24091.11914,23996.50977,24066.11914,24066.11914,64000,Japan
12/18/19,24023.26953,24046.08984,23919.35938,23934.42969,23934.42969,66300,Japan
12/19/19,23911.46094,23945.5293,23835.28906,23864.84961,23864.84961,55600,Japan
12/20/19,23893.44922,23908.76953,23746.63086,23816.63086,23816.63086,70300,Japan
12/23/19,23921.28906,23923.08984,23810.82031,23821.10938,23821.10938,45200,Japan
12/24/19,23839.17969,23853.56055,23796.34961,23830.58008,23830.58008,37900,Japan
12/25/19,23813.58984,23824.84961,23782.86914,23782.86914,23782.86914,31600,Japan
12/26/19,23787.69922,23931.50977,23775.40039,23924.91992,23924.91992,40300,Japan
12/27/19,23953.75,23967.17969,23837.7207,23837.7207,23837.7207,44800,Japan
12/30/19,23770.92969,23782.49023,23656.61914,23656.61914,23656.61914,41600,Japan
1/6/20,23319.75977,23365.35938,23148.5293,23204.85938,23204.85938,72800,Japan
1/7/20,23320.11914,23577.43945,23299.91992,23575.7207,23575.7207,64300,Japan
1/8/20,23217.49023,23303.21094,22951.17969,23204.75977,23204.75977,79400,Japan
1/9/20,23530.28906,23767.08984,23506.15039,23739.86914,23739.86914,62200,Japan
1/10/20,23813.2793,23903.28906,23761.08008,23850.57031,23850.57031,55900,Japan
1/14/20,23969.03906,24059.85938,23951.66016,24025.16992,24025.16992,64200,Japan
1/15/20,23923.48047,23997.39063,23875.82031,23916.58008,23916.58008,57200,Japan
1/16/20,23960.19922,23975.38086,23905.38086,23933.13086,23933.13086,55400,Japan
1/17/20,24103.44922,24115.94922,24013.75,24041.25977,24041.25977,59400,Japan
1/20/20,24080.67969,24108.10938,24061.66992,24083.50977,24083.50977,38300,Japan
1/21/20,24072.81055,24081.75,23843.48047,23864.56055,23864.56055,44600,Japan
1/22/20,23835.49023,24040.86914,23831.09961,24031.34961,24031.34961,49000,Japan
1/23/20,23843.50977,23910.00977,23779.23047,23795.43945,23795.43945,55500,Japan
1/24/20,23850.11914,23869.38086,23755.32031,23827.17969,23827.17969,48700,Japan
1/27/20,23427.90039,23463.89063,23317.32031,23343.50977,23343.50977,62400,Japan
1/28/20,23126.92969,23243.35938,23115.15039,23215.71094,23215.71094,64400,Japan
1/29/20,23309.32031,23392.60938,23214.2793,23379.40039,23379.40039,54900,Japan
1/30/20,23284.58008,23318.57031,22892.94922,22977.75,22977.75,69600,Japan
1/31/20,23148.91992,23421.58984,23139.98047,23205.17969,23205.17969,75400,Japan
2/3/20,22874.26953,23023.73047,22775.91992,22971.93945,22971.93945,72500,Japan
2/4/20,22881.13086,23118.13086,22854.44922,23084.58984,23084.58984,67900,Japan
2/5/20,23351.4707,23414.68945,23241.64063,23319.56055,23319.56055,70300,Japan
2/6/20,23641.09961,23995.36914,23625.13086,23873.58984,23873.58984,95100,Japan
