mentions,counts
@realDonaldTrump,933
@YouTube,722
@POTUS,251
@WHO,234
@UKChange,185
@CNN,153
@CDCgov,144
@Change,134
@VP,102
@SpeakerPelosi,97
@NYGovCuomo,97
@FoxNews,93
@narendramodi,89
@MSNBC,88
@GovAbbott,88
@WhiteHouse,76
@GOP,74
@ABC,64
@BorisJohnson,63
@nytimes,59
@JoeBiden,56
@PMOIndia,55
@GovRonDeSantis,48
@CBSNews,44
@washingtonpost,43
@senatemajldr,43
@BernieSanders,43
@GoogleNews,42
@NBCNews,41
@GavinNewsom,38
@NCDCgov,37
@BarackObama,37
@GovernorVA,37
@DrTedros,37
@maddow,37
@gatewaypundit,35
@SenSchumer,35
@usatoday,33
@seanhannity,32
@SenateGOP,31
@nbcnews,31
@JustinTrudeau,30
@ChrisCuomo,29
@cnnbrk,29
@WSJ,29
@ScottMorrisonMP,28
@fordnation,28
@NYCMayor,26
@MailOnline,24
@amazon,24
@LindseyGrahamSC,24
@COVID_Australia,23
@BBCNews,23
@statnews,23
@cnn,23
@HHSGov,22
@realdonaldtrump,22
@NationalNurses,22
@UN,21
@GovWhitmer,21
@DonaldJTrumpJr,20
@alamb,20
@BBCWorld,20
@RepAdamSchiff,19
@msnbc,19
@jaredkushner,19
@MBuhari,19
@ChangeAUS,19
@CNBC,19
@TheDemocrats,19
@BillGates,19
@AriMelber,18
@GovPritzker,18
@AmitShah,18
@Twitter,18
@IvankaTrump,18
@IngrahamAngle,18
@Acosta,17
@MattHancock,17
@Mike_Pence,17
@gtconway3d,17
@ImranKhanPTI,17
@drsanjaygupta,16
@chrislhayes,16
@CdnChange,16
@CTV,16
@gmail,16
@jimcramer,16
@GovInslee,16
@globalbreaking_,15
@AOC,15
@CPHO_Canada,15
@potus,15
@davidlepofsky,15
@YourMorning,15
@RealDoctorMike,15
@Target,15
@torontostar,14
@DanielAndrewsMP,14
@drharshvardhan,14
@DNC,14
@ChannelNewsAsia,14
@WebMD,14
@dougducey,14
@GovMikeDeWine,13
@PETA,13
@Google,13
@lookner,13
@GOPLeader,13
@cnni,13
@GovernorTomWolf,13
@SputnikInt,13
@ABCNews,13
@Facebook,13
@marthamaccallum,13
@CDCemergency,12
@LinkedIn,12
@HouseDemocrats,12
@edyong209,12
@gop,12
@ArvindKejriwal,12
@SenKamalaHarris,12
@MotherJones,12
@abcnews,12
@commondreams,12
@nationalpost,12
@realDonaldTrumphttps,12
@SecAzar,12
@HuffPostPol,12
@FeedingAmerica,11
@Surgeon_General,11
@DHSgov,11
@zoom_us,11
@scmpnews,11
@KellyannePolls,11
@ewarren,11
@elonmusk,11
@YahooNews,11
@Forbes,11
@MoHFW_INDIA,11
@Walmart,11
@USNavy,11
@NicolleDWallace,11
@nzheraldhttps,11
@Yahoo,11
@USATODAY,11
@SCMPgraphics,11
@voxdotcom,11
@steelguru,11
@TuckerCarlson,11
@NewYorker,10
@DrEricDing,10
@CAgovernor,10
@Lawrence,10
@HillaryClinton,10
@NigeriaGov,10
@forbeshttps,10
@BBCBreaking,10
@netflix,10
@CDCDirector,10
@Apple,10
@SenateDems,10
@politico,10
@GovMurphy,10
@inquirerdotnet,10
@AP,10
@piersmorgan,10
@GovKemp,10
@grtvnews,10
@CDC,9
@tedcruz,9
@GovParsonMO,9
@andrewcuomo,9
@RahulGandhi,9
@ScottGottliebMD,9
@group1crew,9
@g20org,9
@globalnews,9
@CMOMaharashtra,9
@GregHuntMP,9
@Spreaker,9
@Reuters,9
@wolfblitzer,9
@MMAC_Chamber,9
@smh,9
@NAkufoAddo,9
@ForeignPolicy,9
@YahooFinance,9
@chrismartenson,9
@COVID_19NEWS,9
@HouseGOP,9
@who,9
@democracynow,9
@RonDeSantisFL,9
@NPR,8
@SenRickScott,8
@bjp4india,8
@CapitalHeroLLC1,8
@GregAbbott_TX,8
@nypost,8
@TheEconomist,8
@Yamiche,8
@Airbnb,8
@stevenmnuchin1,8
@JDiamond1,8
@latimes,8
@SenTedCruz,8
@SanDiegoCounty,8
@twitchyteam,8
@GlblCtzn,8
@skinnergj,8
@peta,8
@GovCanHealth,8
@GovofCO,8
@pulte,8
@reason,8
@NIH,8
@epochtimes,8
@AdamSchiff,8
@freep,8
@drdrew,8
@MaddowBlog,8
@businessinsider,8
@FLOTUS,8
@SenFeinstein,8
@US_FDA,8
@BilldeBlasio,7
@BrookingsInst,7
@WWE,7
@celliottability,7
@medscape,7
@GovSisolak,7
@business,7
@imfsea_aruna,7
@BostonGlobe,7
@GovEvers,7
@AJEnglish,7
@SenTomCotton,7
@OANN,7
@TwitterSafety,7
@FoodWriterDiary,7
@RealJamesWoods,7
@thedailybeast,7
@GovHerbert,7
@TimSheehy_MMAC,7
@antonioguterres,7
@FoxNewshttps,7
@WHOhttps,7
@SecPompeo,7
@GovTimWalz,7
@jidesanwoolu,7
@DONJAZZY,7
@fema,7
@JeffBezos,7
@davido,7
@christufton,7
@DrOz,7
@RealCandaceO,7
@AirCanada,7
@OfficeofUT,7
@GoldmanSachs,7
@CNNPolitics,7
@COVID19,7
@CBCNews,7
@globeandmailhttps,7
@marcorubio,7
@canberratimes,7
@SkyNews,7
@PodcastAddictpic,7
@CBS,7
@FT,7
@timesofindia,6
@Delta,6
@TODAYshow,6
@CoronaVid19,6
@ahkmlog,6
@ddale8,6
@GovNedLamont,6
@CDNMinHealth,6
@Conservatives,6
@gofundme,6
@CMO_Odisha,6
@SimonHarrisTD,6
@marklevinshow,6
@GladysB,6
@IndianCountry,6
@LeoVaradkar,6
@DrAmyActon,6
@COVID19Tracking,6
@OHAOregon,6
@foxnews,6
@BTS_twt,6
@TelanganaCMO,6
@normanswan,6
@CNBCTV18News,6
@AsaHutchinson,6
@SenWarren,6
@adriandix,6
@DailyMailUK,6
@MLB,6
@joerogan,6
@GovLarryHogan,6
@get_repost,6
@donlemon,6
@SRuhle,6
@AnwarFadzil,6
@kelawarMY,6
@GovAndyBeshear,6
@EU_Commission,6
@GEanalyst,6
@NonVitalTooth,6
@NHSuk,6
@MedicalCollege,6
@kuabt,6
@ProSynhttps,6
@arifsetia2013d,6
@richardrichli,6
@NC_Governor,6
@JerryFalwellJr,6
@shareaholic,6
@dbongino,6
@RandPaul,6
@JohnCornyn,6
@modrnhealthcr,6
@TheEllenShow,6
@SenSanders,6
@thejournal_ie,6
@WholeFoods,5
@forbes,5
@medical_xpress,5
@Worldometers,5
@FBI,5
@theroywholivedhttps,5
@ShereenBhan,5
@followlasg,5
@BJP4India,5
@MikeDeWine,5
@SenatorDurbin,5
@corona,5
@FRANCE24,5
@RealDonaldTrump,5
@OregonGovBrown,5
@pragupathy,5
@detroitnews,5
@IndianExpress,5
@JayInslee,5
@JohnsHopkins,5
@chucktodd,5
@CA4MSIA,5
@channelstv,5
@SECNAV,5
@Matthew_Fenton,5
@JoeNBC,5
@nypmetro,5
@globeandmail,5
@McKinsey,5
@CanBorder,5
@nuzzel,5
@CDCofBC,5
@McDonalds,5
@JohnsHopkinsSPH,5
@BankofAmerica,5
@DrNancyM_CDC,5
@dailynation,5
@PerilofAfrica,5
@greggutfeld,5
@CIA,5
@CTVNews,5
@jack,5
@CSocialWorkEd,5
@MayorBowser,5
@RollingStone,5
@chicagosmayor,5
@govkristinoem,5
@gov,5
@PattyHajdu,5
@nasw,5
@Pontifex,5
@cgtnofficial,5
@NGRPresident,5
@jkenney,5
@anilvijminister,5
@MarcGarneau,5
@HuffPost,5
@HuffPostLife,5
@realDonaldTrumppic,5
@taylorswift13,5
@EricTrump,5
@mitchellvii,5
@realMikeLindell,5
@catsa_gc,5
@cbc,5
@amyklobuchar,5
@WPLGLocal10,5
@healthgovau,5
@KamalaHarris,5
@IAGovernor,5
@NCDCgovpic,5
@amapresident,5
@WHNSC,5
@DavidMuir,5
@BreitbartNews,5
@BretBaier,5
@Potus,5
@IMFNews,5
@Medtronic,5
@gmanews,5
@mlkhattar,5
@united,5
@AmerMedicalAssn,5
@trish_regan,5
@ABC7,5
@NewsHour,5
@TheIPA,5
@MSF,5
@ABC7NY,5
@NYTOpinion,5
@wef,5
@drcarachrist,5
@GovHolcomb,5
@ABCWorldNews,5
@GretaThunberg,5
@LouDobbs,5
@ASWB,5
@malaysianalways,5
@Franklin_Graham,5
@Gnews202064,5
@ANI,5
@kroger,5
@GovBillLee,5
@AJENewshttps,5
@AndrewScheer,5
@AJENews,5
@FortRussNewshttps,5
@GeekWire,5
@GovJanetMills,5
@TomPerez,5
@zlj517,5
@GOPChairwoman,5
@StateDept,5
@vrbo,5
@LouisianaGov,5
@VinceMcMahon,4
@TwitterSupport,4
@nbc,4
@SenBobCasey,4
@Etsy,4
@guardian,4
@LaraLeaTrump,4
@wizkidayo,4
@wired,4
@PTIofficial,4
@MSignorile,4
@DeptofDefense,4
@cspanwj,4
@nbc6,4
@ErinBurnett,4
@instapaper,4
@NBA,4
@SouthwestAir,4
@AmericanAir,4
@abc7newsbayarea,4
@WADeptHealth,4
@rte,4
@myogiadityanath,4
@FordFoundation,4
@KING5Seattle,4
@AndrewYang,4
@Chase,4
@USPS,4
@MeghanMcCain,4
@CharlieFlanagan,4
@rising_majority,4
@theage,4
@British_Airways,4
@Medium,4
@officialEFCC,4
@HarvardBiz,4
@RepThomasMassie,4
@GMA,4
@slate,4
@elijahdaniel,4
@dnc,4
@EPA,4
@nsitharaman,4
@TheBeatWithAri,4
@JudyWoodruff,4
@GillibrandNY,4
@AirAsiaSupport,4
@IndiGo6E,4
@CBSThisMorning,4
@GameStop,4
@TheView,4
@stltoday,4
@gatesfoundation,4
@CMOIreland,4
@jacindaardern,4
@Imamofpeace,4
@AliVelshi,4
@PeteButtigieg,4
@BookCameo,4
@NBCPhiladelphia,4
@V2019N,4
@JudgeClayJ,4
@ICEgov,4
@OfficialDGISPR,4
@HSELive,4
@BrianKempGA,4
@JoshFrydenberg,4
@usairforce,4
@NST_Online,4
@MariaBartiromo,4
@MrBeastYT,4
@urbandisavirus,4
@SpeakerPelosihttps,4
@VancityReynolds,4
@NEJM,4
@sxsw,4
@ScottAdamsSays,4
@SHRM,4
@PaulaReidCBS,4
@billburr,4
@MayorOfLA,4
@NBC,4
@JosepBorrellF,4
@PHE_uk,4
@andersoncooper,4
@falklands_utd,4
@TheEconomistpic,4
@charliekirk11,4
@NavyTimes,4
@AFP,4
@BBCAfrica,4
@Webex,4
@TeamTrump,4
@DHSWI,4
@BT_India,4
@BBhuttoZardari,4
@iamjohnoliver,4
@FOXLA,4
@rapplerdotcom,4
@ABSCBNNews,4
@AC360,4
@GovStitt,4
@JeffreeStar,4
@fkeyamo,4
@HealthZA,4
@MadMoneyOnCNBC,4
@DFID_UK,4
@HispanicCaucus,4
@pjmedia_com,4
@FinMinIndia,4
@comcast,4
@htTweetshttps,4
@flyspicejet,4
@CuPhysMed,4
@JackMa,4
@Maddow,4
@WrestleMania,4
@johnkrasinski,4
@RH_restaurant,4
@WorldBank,4
@mattgaetz,4
@Shehla_Rashid,4
@MikeBloomberg,4
