Date,Open,High,Low,Close,Adj Close,Volume,Country/ Region
11/4/19,39.810001,39.84,39.610001,39.650002,39.397968,2860400,Europe
11/5/19,39.610001,39.630001,39.48,39.610001,39.358219,1481800,Europe
11/6/19,39.700001,39.779999,39.610001,39.669998,39.417835,1290400,Europe
11/7/19,39.84,39.869999,39.740002,39.77,39.517204,2477200,Europe
11/8/19,39.66,39.77,39.560001,39.77,39.517204,1201800,Europe
11/11/19,39.639999,39.77,39.619999,39.759998,39.507263,1069100,Europe
11/12/19,39.759998,39.849998,39.689999,39.75,39.49733,1523500,Europe
11/13/19,39.560001,39.669998,39.549999,39.639999,39.388027,1327400,Europe
11/14/19,39.52,39.650002,39.5,39.630001,39.378094,1913700,Europe
11/15/19,39.759998,39.919998,39.759998,39.919998,39.666248,2126600,Europe
11/18/19,39.75,39.990002,39.709999,39.91,39.656311,1501200,Europe
11/19/19,40.049999,40.07,39.779999,39.869999,39.616566,1292600,Europe
11/20/19,39.689999,39.759998,39.48,39.630001,39.378094,1859900,Europe
11/21/19,39.720001,39.759998,39.560001,39.689999,39.43771,1203600,Europe
11/22/19,39.75,39.790001,39.560001,39.639999,39.388027,556200,Europe
11/25/19,39.700001,39.799999,39.68,39.77,39.517204,618500,Europe
11/26/19,39.759998,39.84,39.720001,39.799999,39.547012,710300,Europe
11/27/19,39.759998,39.82,39.709999,39.799999,39.547012,789400,Europe
11/29/19,39.73,39.82,39.66,39.720001,39.467522,2167700,Europe
12/2/19,39.5,39.509998,39.099998,39.240002,38.990574,2512700,Europe
12/3/19,38.939999,39.200001,38.799999,39.200001,38.950829,2881300,Europe
12/4/19,39.509998,39.630001,39.48,39.580002,39.328411,991700,Europe
12/5/19,39.669998,39.68,39.419998,39.540001,39.288666,1150200,Europe
12/6/19,39.830002,39.84,39.700001,39.779999,39.527138,869800,Europe
12/9/19,39.689999,39.75,39.48,39.5,39.24892,1262700,Europe
12/10/19,39.5,39.689999,39.43,39.599998,39.348282,1360900,Europe
12/11/19,39.689999,39.970001,39.689999,39.93,39.676186,2420700,Europe
12/12/19,39.950001,40.34,39.93,40.290001,40.033897,1791000,Europe
12/13/19,40.52,40.82,40.389999,40.5,40.242561,2282100,Europe
12/16/19,40.900002,41.009998,40.869999,40.91,40.649956,1448000,Europe
12/17/19,40.799999,40.810001,40.650002,40.669998,40.41148,1174900,Europe
12/18/19,40.630001,40.66,40.459999,40.52,40.262436,650000,Europe
12/19/19,40.43,40.529999,40.369999,40.509998,40.252495,1668300,Europe
12/20/19,40.580002,40.66,40.529999,40.610001,40.454723,1248200,Europe
12/23/19,40.599998,40.689999,40.599998,40.619999,40.464684,512700,Europe
12/24/19,40.57,40.59,40.470001,40.549999,40.394951,523100,Europe
12/26/19,40.57,40.790001,40.57,40.790001,40.634033,1415900,Europe
12/27/19,41,41.029999,40.900002,40.93,40.773499,1180500,Europe
12/30/19,40.900002,40.91,40.540001,40.59,40.434799,1818500,Europe
12/31/19,40.599998,40.790001,40.459999,40.790001,40.634033,1386300,Europe
1/2/20,41.130001,41.27,41.09,41.259998,41.102234,1725200,Europe
1/3/20,40.650002,40.93,40.650002,40.73,40.574265,1267600,Europe
1/6/20,40.610001,40.84,40.59,40.799999,40.643993,837500,Europe
1/7/20,40.689999,40.709999,40.549999,40.57,40.414875,1140500,Europe
1/8/20,40.549999,40.91,40.549999,40.77,40.614109,1844100,Europe
1/9/20,40.91,40.959999,40.82,40.939999,40.783459,1164300,Europe
1/10/20,40.919998,41.009998,40.740002,40.810001,40.653957,1237200,Europe
1/13/20,40.740002,40.91,40.68,40.91,40.753574,1310100,Europe
1/14/20,40.700001,40.84,40.66,40.77,40.614109,2251600,Europe
1/15/20,40.720001,40.82,40.650002,40.700001,40.54438,1661400,Europe
1/16/20,40.84,40.900002,40.73,40.900002,40.743614,1019600,Europe
1/17/20,41.040001,41.080002,40.939999,41.080002,40.922928,1701100,Europe
1/21/20,40.799999,40.849998,40.669998,40.669998,40.514492,3016800,Europe
1/22/20,40.709999,40.709999,40.5,40.52,40.365067,1759400,Europe
1/23/20,40.330002,40.400002,40.040001,40.400002,40.245525,1745600,Europe
1/24/20,40.560001,40.580002,40.220001,40.330002,40.175793,1976300,Europe
1/27/20,39.450001,39.57,39.310001,39.349998,39.199539,1773500,Europe
1/28/20,39.549999,39.84,39.509998,39.790001,39.637859,1356900,Europe
1/29/20,39.91,40.02,39.790001,39.849998,39.697628,1210400,Europe
1/30/20,39.459999,39.830002,39.419998,39.810001,39.657784,3026100,Europe
1/31/20,39.419998,39.439999,38.970001,39.099998,38.950493,2226200,Europe
2/3/20,39.240002,39.450001,39.23,39.27,39.119846,1172400,Europe
2/4/20,39.919998,40.060001,39.91,39.950001,39.797245,1838200,Europe
2/5/20,40.419998,40.490002,40.27,40.380001,40.225601,2327000,Europe
2/6/20,40.630001,40.66,40.52,40.599998,40.444759,2449100,Europe
2/7/20,40.419998,40.450001,40.27,40.32,40.165833,917000,Europe
2/10/20,40.169998,40.380001,40.169998,40.380001,40.225601,756200,Europe
2/11/20,40.540001,40.689999,40.509998,40.57,40.414875,4680700,Europe
2/12/20,40.860001,40.860001,40.709999,40.790001,40.634033,2272700,Europe
2/13/20,40.43,40.580002,40.32,40.490002,40.335182,1504000,Europe
2/14/20,40.52,40.560001,40.369999,40.490002,40.335182,996800,Europe
2/18/20,40.279999,40.41,40.259998,40.310001,40.155872,1161600,Europe
2/19/20,40.470001,40.57,40.419998,40.52,40.365067,764400,Europe
2/20/20,40.450001,40.529999,40.060001,40.279999,40.125984,1604000,Europe
2/21/20,40.049999,40.110001,39.860001,40.02,39.866978,2243000,Europe
2/24/20,38.23,38.549999,38.220001,38.290001,38.143593,3826400,Europe
2/25/20,38.220001,38.25,37.240002,37.310001,37.167343,4804100,Europe
2/26/20,37.68,37.98,37.27,37.32,37.177303,5330800,Europe
2/27/20,36.709999,37.290001,36.240002,36.259998,36.121353,4655700,Europe
2/28/20,35.32,36.029999,35.02,35.970001,35.832466,6500600,Europe
3/2/20,36.060001,36.810001,35.720001,36.75,36.609482,3817800,Europe
3/3/20,36.959999,37.48,35.990002,36.25,36.111393,3426400,Europe
3/4/20,36.959999,37.619999,36.669998,37.57,37.426346,2441000,Europe
3/5/20,36.450001,36.799999,36.099998,36.299999,36.161201,2663700,Europe
3/6/20,35.610001,35.93,35.25,35.639999,35.503723,3254400,Europe
3/9/20,33,33.689999,32.18,32.310001,32.186459,5884100,Europe
3/10/20,33.470001,33.509998,32.049999,33.330002,33.20256,8606100,Europe
3/11/20,32.529999,32.630001,31.18,31.530001,31.409441,5866200,Europe
3/12/20,29.190001,29.290001,27.379999,27.6,27.494469,5451000,Europe
3/13/20,29.77,29.809999,27.43,29.309999,29.197929,2881000,Europe
3/16/20,25.309999,27.190001,25,25.950001,25.850777,4681300,Europe
3/17/20,26.190001,27.379999,25.75,27.290001,27.185654,3165700,Europe
3/18/20,25.360001,26.01,24.290001,25.190001,25.093683,3324900,Europe
3/19/20,25.02,26.120001,24.77,25.559999,25.462267,3821100,Europe
3/20/20,26.360001,27,25.4,25.629999,25.532,3086300,Europe
3/23/20,26.09,26.540001,25.559999,25.83,25.83,3976800,Europe
3/24/20,27.92,28.639999,27.530001,28.26,28.26,4228700,Europe
3/25/20,28.469999,29.91,28.059999,29.309999,29.309999,4490200,Europe
3/26/20,29.440001,30.6,29.43,30.540001,30.540001,5876200,Europe
3/27/20,29.139999,29.809999,28.74,29.33,29.33,3741800,Europe
3/30/20,29.190001,29.879999,29.02,29.809999,29.809999,3269600,Europe
3/31/20,29.52,29.799999,29.120001,29.51,29.51,4036100,Europe
4/1/20,28.450001,28.66,27.9,28.01,28.01,4016300,Europe
4/2/20,27.879999,28.700001,27.790001,28.42,28.42,4320800,Europe
4/3/20,28.01,28.16,27.66,27.940001,27.940001,2229200,Europe
